date,open,high,low,close,volume,hold,settle,symbol,adj_open,adj_high,adj_low,adj_close,adj_settle,ret_raw_close,ret_adj_close
2014-01-02,19360.000000,19450.000000,19305.000000,19385.000000,51938,75032,19380.000000,CF0,17697.143994,17779.413775,17646.868017,17719.996711,17715.426168,,
2014-01-03,19375.000000,19380.000000,19305.000000,19325.000000,22286,72976,19330.000000,CF0,17710.855624,17715.426168,17646.868017,17665.150190,17669.720734,-0.003095,-0.003095
2014-01-06,19295.000000,19375.000000,19250.000000,19280.000000,29350,75696,19305.000000,CF0,17637.726930,17710.855624,17596.592040,17624.015300,17646.868017,-0.002329,-0.002329
2014-01-07,19290.000000,19510.000000,19260.000000,19495.000000,33890,82910,19405.000000,CF0,17633.156387,17834.260296,17605.733126,17820.548666,17738.278885,0.011151,0.011151
2014-01-08,19500.000000,19810.000000,19425.000000,19760.000000,93818,82798,19635.000000,CF0,17825.119209,18108.492899,17756.561058,18062.787465,17948.523880,0.013593,0.013593
2014-01-09,19670.000000,19770.000000,19660.000000,19695.000000,49294,72942,19705.000000,CF0,17980.517684,18071.928552,17971.376597,18003.370401,18012.511488,-0.003289,-0.003289
2014-01-10,19690.000000,19955.000000,19585.000000,19625.000000,109556,70162,19760.000000,CF0,17998.799858,18241.038657,17902.818447,17939.382794,18062.787465,-0.003554,-0.003554
2014-01-13,19610.000000,19850.000000,19600.000000,19760.000000,60360,75824,19745.000000,CF0,17925.671163,18145.057246,17916.530077,18062.787465,18049.075835,0.006879,0.006879
2014-01-14,19805.000000,19900.000000,19720.000000,19885.000000,40160,75444,19830.000000,CF0,18103.922356,18190.762680,18026.223118,18177.051050,18126.775073,0.006326,0.006326
2014-01-15,19860.000000,19890.000000,19755.000000,19845.000000,22944,74502,19820.000000,CF0,18154.198333,18181.621593,18058.216922,18140.486703,18117.633986,-0.002012,-0.002012
2014-01-17,19840.000000,19950.000000,19760.000000,19860.000000,43040,76396,19860.000000,CF0,18135.916159,18236.468114,18062.787465,18154.198333,18154.198333,0.000756,0.000756
2014-01-20,19840.000000,19900.000000,19775.000000,19810.000000,23610,74524,19825.000000,CF0,18135.916159,18190.762680,18076.499095,18108.492899,18122.204529,-0.002518,-0.002518
2014-01-21,19815.000000,19850.000000,19710.000000,19810.000000,35064,74982,19790.000000,CF0,18113.063442,18145.057246,18017.082031,18108.492899,18090.210725,0.000000,0.000000
2014-01-22,19895.000000,19900.000000,19800.000000,19805.000000,18082,75580,19830.000000,CF0,18186.192137,18190.762680,18099.351812,18103.922356,18126.775073,-0.000252,-0.000252
2014-01-23,19790.000000,19825.000000,19750.000000,19785.000000,18062,77336,0.000000,CF0,18090.210725,18122.204529,18053.646378,18085.640182,0.000000,-0.001010,-0.001010
2014-01-24,19750.000000,19890.000000,19720.000000,19850.000000,24806,80594,19830.000000,CF0,18053.646378,18181.621593,18026.223118,18145.057246,18126.775073,0.003285,0.003285
2014-01-27,19840.000000,19885.000000,19805.000000,19810.000000,22200,75078,19840.000000,CF0,18135.916159,18177.051050,18103.922356,18108.492899,18135.916159,-0.002015,-0.002015
2014-01-28,19710.000000,19780.000000,19640.000000,19700.000000,31890,72680,19710.000000,CF0,18017.082031,18081.069639,17953.094424,18007.940944,18017.082031,-0.005553,-0.005553
2014-01-29,19700.000000,19765.000000,19685.000000,19745.000000,7978,69394,19735.000000,CF0,18007.940944,18067.358008,17994.229314,18049.075835,18039.934748,0.002284,0.002284
2014-01-30,19780.000000,19860.000000,19750.000000,19755.000000,6434,66956,19780.000000,CF0,18081.069639,18154.198333,18053.646378,18058.216922,18081.069639,0.000506,0.000506
2014-02-07,19815.000000,19930.000000,19755.000000,19880.000000,16158,66562,19870.000000,CF0,18113.063442,18218.185940,18058.216922,18172.480506,18163.339420,0.006328,0.006328
2014-02-10,19920.000000,20060.000000,19885.000000,20055.000000,31736,75764,19980.000000,CF0,18209.044853,18337.020068,18177.051050,18332.449525,18263.891374,0.008803,0.008803
2014-02-11,20020.000000,20245.000000,19925.000000,19940.000000,49480,74338,20080.000000,CF0,18300.455721,18506.130174,18213.615397,18227.327027,18355.302242,-0.005734,-0.005734
2014-02-12,19990.000000,20040.000000,19940.000000,20015.000000,17908,74916,19995.000000,CF0,18273.032461,18318.737895,18227.327027,18295.885178,18277.603004,0.003761,0.003761
2014-02-13,19990.000000,20080.000000,19910.000000,19915.000000,18346,75222,19945.000000,CF0,18273.032461,18355.302242,18199.903767,18204.474310,18231.897570,-0.004996,-0.004996
2014-02-14,19900.000000,20070.000000,19880.000000,20065.000000,27502,78298,20015.000000,CF0,18190.762680,18346.161155,18172.480506,18341.590612,18295.885178,0.007532,0.007532
2014-02-17,20100.000000,20100.000000,19965.000000,20005.000000,16942,74832,20045.000000,CF0,18373.584415,18373.584415,18250.179744,18286.744091,18323.308438,-0.002990,-0.002990
2014-02-18,20020.000000,20040.000000,19950.000000,19960.000000,9354,73902,19980.000000,CF0,18300.455721,18318.737895,18236.468114,18245.609201,18263.891374,-0.002249,-0.002249
2014-02-19,19960.000000,20080.000000,19960.000000,20045.000000,7724,74116,20010.000000,CF0,18245.609201,18355.302242,18245.609201,18323.308438,18291.314634,0.004259,0.004259
2014-02-20,19985.000000,20025.000000,19920.000000,19970.000000,14128,72526,19960.000000,CF0,18268.461917,18305.026265,18209.044853,18254.750287,18245.609201,-0.003742,-0.003742
2014-02-21,19950.000000,19995.000000,19945.000000,19985.000000,4932,71978,19970.000000,CF0,18236.468114,18277.603004,18231.897570,18268.461917,18254.750287,0.000751,0.000751
2014-02-24,20000.000000,20010.000000,19800.000000,19800.000000,23686,69202,19870.000000,CF0,18282.173548,18291.314634,18099.351812,18099.351812,18163.339420,-0.009257,-0.009257
2014-02-25,19830.000000,19850.000000,19765.000000,19775.000000,14556,67584,19805.000000,CF0,18126.775073,18145.057246,18067.358008,18076.499095,18103.922356,-0.001263,-0.001263
2014-02-26,19685.000000,19700.000000,19405.000000,19565.000000,40440,69634,19555.000000,CF0,17994.229314,18007.940944,17738.278885,17884.536273,17875.395186,-0.010619,-0.010619
2014-02-27,19450.000000,19580.000000,19335.000000,19400.000000,25026,68064,19470.000000,CF0,17779.413775,17898.247903,17674.291277,17733.708341,17797.695949,-0.008433,-0.008433
2014-02-28,19400.000000,19520.000000,18705.000000,18765.000000,112192,66946,18955.000000,CF0,17733.708341,17843.401383,17098.402810,17153.249331,17326.929980,-0.032732,-0.032732
2014-03-03,18745.000000,19205.000000,18700.000000,19190.000000,86370,72088,18980.000000,CF0,17134.967158,17555.457149,17093.832267,17541.745519,17349.782697,0.022649,0.022649
2014-03-04,19250.000000,19390.000000,19135.000000,19300.000000,51556,71592,19220.000000,CF0,17596.592040,17724.567254,17491.469542,17642.297473,17569.168779,0.005732,0.005732
2014-03-05,19355.000000,19380.000000,19260.000000,19370.000000,19644,73128,19310.000000,CF0,17692.573451,17715.426168,17605.733126,17706.285081,17651.438560,0.003627,0.003627
2014-03-06,19270.000000,19400.000000,19205.000000,19300.000000,37956,72010,19305.000000,CF0,17614.874213,17733.708341,17555.457149,17642.297473,17646.868017,-0.003614,-0.003614
2014-03-10,19230.000000,19275.000000,18925.000000,19030.000000,51016,57566,19090.000000,CF0,17578.309866,17619.444757,17299.506719,17395.488131,17450.334651,-0.013990,-0.013990
2014-03-11,19000.000000,19130.000000,18865.000000,18985.000000,22726,54594,19000.000000,CF0,17368.064870,17486.898998,17244.660199,17354.353240,17368.064870,-0.002365,-0.002365
2014-03-12,18880.000000,19020.000000,18780.000000,18820.000000,15926,52338,18885.000000,CF0,17258.371829,17386.347044,17166.960961,17203.525308,17262.942372,-0.008691,-0.008691
2014-03-14,18895.000000,18960.000000,18850.000000,18925.000000,7954,49974,18905.000000,CF0,17272.083459,17331.500523,17230.948569,17299.506719,17281.224546,0.005579,0.005579
2014-03-17,16210.000000,16215.000000,16115.000000,16125.000000,9048,51290,16165.000000,CF0,14817.701660,14822.272204,14730.861336,14740.002423,14776.566770,-0.147952,-0.147952
2014-03-18,16120.000000,16165.000000,16115.000000,16140.000000,5864,52030,16130.000000,CF0,14735.431879,14776.566770,14730.861336,14753.714053,14744.572966,0.000930,0.000930
2014-03-19,16155.000000,16270.000000,16130.000000,16180.000000,7208,52182,16195.000000,CF0,14767.425683,14872.548181,14744.572966,14790.278400,14803.990030,0.002478,0.002478
